term,package,function_name,description,url
setdiff(),base,base::setdiff(),return observations in x but not y,https://rdrr.io/r/base/sets.html
setwd(),base,base::setwd(),set working directory,https://rdrr.io/r/base/getwd.html
slidy_presentation(),rmarkdown,rmarkdown::slidy_presentation(),create Slidy presentation from R markdown file,https://rdrr.io/cran/rmarkdown/man/slidy_presentation.html
some(),purrr,purrr::some(),determine if some of elements meet predicate function conditional,https://purrr.tidyverse.org/reference/every.html
spread_predictions(),modelr,modelr::spread_predictions(),add predictions and pivot wider,https://modelr.tidyverse.org/reference/add_predictions.html
starts_with(),tidyselect,tidyselect::starts_with(),match column names that begin with string,https://tidyselect.r-lib.org/reference/starts_with.html
stat_summary(),ggplot2,ggplot2::stat_summary(),summarize y values for each x value,https://ggplot2.tidyverse.org/reference/stat_summary.html
stop_for_problems(),readr,readr::stop_for_problems(),throw error and stop script if any parsing problems,https://readr.tidyverse.org/reference/problems.html
stopifnot(),base,base::stopifnot(),test condition and produce error at first FALSE,https://rdrr.io/r/base/stopifnot.html
str_c(),stringr,stringr::str_c(),combines two or more strings,https://stringr.tidyverse.org/reference/str_c.html
str_count(),stringr,stringr::str_count(),count number of matches in a string,https://stringr.tidyverse.org/reference/str_count.html
str_detect(),stringr,stringr::str_detect(),detect presence of pattern in string,https://stringr.tidyverse.org/reference/str_detect.html
str_extract_all(),stringr,stringr::str_extract_all(),extract all matching patterns in a string,https://stringr.tidyverse.org/reference/str_extract.html
str_extract(),stringr,stringr::str_extract(),extract first matching patterns in a string,https://stringr.tidyverse.org/reference/str_extract.html
str_length(),stringr,stringr::str_length(),returns number of characters in a string,https://stringr.tidyverse.org/reference/str_length.html
str_locate_all(),stringr,stringr::str_locate_all(),locate all positions of pattern in a string,https://stringr.tidyverse.org/reference/str_locate.html
str_locate(),stringr,stringr::str_locate(),locate first position of pattern in a string,https://stringr.tidyverse.org/reference/str_locate.html
str_match_all(),stringr,stringr::str_match_all(),extract all matched groups from a string,https://stringr.tidyverse.org/reference/str_subset.html
str_match(),stringr,stringr::str_match(),extract first matched group from a string,https://stringr.tidyverse.org/reference/str_match.html
str_order(),stringr,stringr::str_order(),return index of sorted vector,https://stringr.tidyverse.org/reference/str_order.html
str_replace_all(),stringr,stringr::str_replace_all(),replace all matched patterns in a  string,https://stringr.tidyverse.org/reference/str_replace.html
str_replace_na(),stringr,stringr::str_replace_na(),replace NAs with other characters,https://stringr.tidyverse.org/reference/str_replace_na.html
str_replace(),stringr,stringr::str_replace(),replace first matched pattern in a string,https://stringr.tidyverse.org/reference/str_replace.html
str_sort(),stringr,stringr::str_sort(),sort numeric or character vector,https://stringr.tidyverse.org/reference/str_order.html
str_split(),stringr,stringr::str_split(),split string into pieces,https://stringr.tidyverse.org/reference/str_split.html
str_sub(),stringr,stringr::str_sub(),extract parts of a string,https://stringr.tidyverse.org/reference/str_sub.html
str_subset(),stringr,stringr::str_subset(),extract elements that match pattern,https://stringr.tidyverse.org/reference/str_subset.html
str_to_lower(),stringr,stringr::str_to_lower(),change text to lower case,https://stringr.tidyverse.org/reference/case.html
str_to_title(),stringr,stringr::str_to_title(),change text to upper case,https://stringr.tidyverse.org/reference/case.html
str_to_upper(),stringr,stringr::str_to_upper(),change text to upper case,https://stringr.tidyverse.org/reference/case.html
str_trim(),stringr,stringr::str_trim(),trim whitespace from string,https://stringr.tidyverse.org/reference/str_trim.html
str_view_all(),stringr,stringr::str_view_all(),view all regular expression matches,https://stringr.tidyverse.org/reference/str_view.html
str_view(),stringr,stringr::str_view(),view first regular expression match,https://stringr.tidyverse.org/reference/str_view.html
str_wrap(),stringr,stringr::str_wrap(),wrap strings into nicely formatted paragraphs,https://stringr.tidyverse.org/reference/str_wrap.html
str(),utils,utils::str(),return object structure,https://rdrr.io/r/utils/str.html
sum(),base,base::sum(),sum elements of vector,https://rdrr.io/r/base/sum.html
summarize(),dplyr,dplyr::summarize(),summarize data usually by grouping variable,https://dplyr.tidyverse.org/reference/summarise.html
summary(),base,base::summary(),return summary of model fitting functions,https://rdrr.io/r/base/summary.html
switch(),base,base::switch(),select one of a list of alternatives,https://rdrr.io/r/base/switch.html
Sys.timezone(),base,base::Sys.timezone(),return name of current time zone,https://rdrr.io/r/base/timezones.html
tail_while(),purrr,purrr::tail_while(),find last elements that satisfy predicate,https://purrr.tidyverse.org/reference/head_while.html
tail(),utils,utils::tail(),"return last rows of matrix, data frame, etc.",https://rdrr.io/r/utils/head.html
textInput(),shiny,shiny::textInput(),allow text input in Shiny,https://shiny.rstudio.com/reference/shiny/latest/textInput.html
theme(),ggplot2,ggplot2::theme(),customize non-data components of plot,https://ggplot2.tidyverse.org/reference/theme.html
tibble(),tibble,tibble::tibble(),create tibble,https://tibble.tidyverse.org/reference/tibble.html
tidy(),generics,generics::tidy(),turn object into tidy tibble,https://generics.r-lib.org/reference/tidy.html
today(),lubridate,lubridate::today(),return the current date,https://lubridate.tidyverse.org/reference/now.html
transpose(),purrr,purrr::transpose(),turn list-of-lists 'inside out',https://purrr.tidyverse.org/reference/transpose.html
tribble(),tibble,tibble::tribble(),create row-wise tibble,https://tibble.tidyverse.org/reference/tribble.html
try(),base,base::try(),try an expression and allow errors,https://rdrr.io/r/base/try.html
type_convert(),readr,readr::type_convert(),re-convert character columns in existing data frame,https://readr.tidyverse.org/reference/type_convert.html
typeof(),base,base::typeof(),return object type,https://rdrr.io/r/base/typeof.html
ungroup(),dplyr,dplyr::ungroup(),remove grouping,https://dplyr.tidyverse.org/reference/group_by.html
union(),base,base::union(),return unique observations in x or y,https://rdrr.io/r/base/sets.html
unique(),base,base::unique(),return vector with duplicate elements removed,https://rdrr.io/r/base/unique.html
unite(),tidyr,tidyr::unite(),combine multiple columns into single column,https://tidyr.tidyverse.org/reference/unite.html
unlist(),base,base::unlist(),flatten a list into an atomic vector in base R,https://rdrr.io/r/base/unlist.html
unnest(),tidyr,tidyr::unnest(),remove nested structure,https://tidyr.tidyverse.org/reference/nest.html
update(),stats,stats::update(),update and refit a model,https://rdrr.io/r/stats/update.html
View(),utils,utils::View(),open spreadsheet view of matrix-like object,https://www.rdocumentation.org/packages/utils/versions/3.6.2/topics/View
walk(),purrr,purrr::walk(),apply a function to multiple elements of an object to obtain side effects,https://purrr.tidyverse.org/reference/map.html
with_tz(),lubridate,lubridate::with_tz(),return date-time in a different time zone,https://lubridate.tidyverse.org/reference/with_tz.html
word_document(),rmarkdown,rmarkdown::word_document(),create Word document from R markdown file,https://rdrr.io/pkg/rmarkdown/man/word_document.html
write_csv(),readr,readr::write_csv(),write a data frame to comma delimited files,https://readr.tidyverse.org/reference/write_delim.html
write_excel_csv(),readr,readr::write_excel_csv(),export a csv file to Excel,https://readr.tidyverse.org/reference/write_delim.html
write_rds(),readr,readr::write_rds(),write RDS files,https://readr.tidyverse.org/reference/read_rds.html
write_tsv(),readr,readr::write_tsv(),write a data frame to tab delimited files,https://readr.tidyverse.org/reference/write_delim.html
writeLines(),base,base::writeLines(),write text lines to a connection,https://rdrr.io/r/base/writeLines.html
xgboost(),sgboost,sgboost::xgboost(),computer gradient boosting models,https://xgboost.readthedocs.io/en/stable/
year(),lubridate,lubridate::year(),return or set year component of a date-time,https://lubridate.tidyverse.org/reference/year.html
ymd_hms(),lubridate,lubridate::ymd_hms(),parse dates and time,https://lubridate.tidyverse.org/reference/ymd_hms.html
ymd(),lubridate,lubridate::ymd(),"parse dates with year, month, and day components",https://lubridate.tidyverse.org/reference/ymd.html
